id,product_name,brand,price,reviews_count,avg_rate
506,Starter Kids Sneaker - Black,Starter,EGP 272.00,7 verified ratings,4.7/5
507,Harvest Strained Fava Beans – 400g – 2 Pcs,Harvest,EGP 21.95,59 verified ratings,4.6/5
508,Finish Dishwasher Detergent Powder Lemon Scent - 1kg - 2 Pcs + 1 Free,Finish,EGP 220.00,135 verified ratings,4.6/5
509,Defacto Woman Pink Short Sleeve T-Shirt,Defacto,EGP 80.00,1 verified rating,4/5
510,Nescafe Cappuccino Gold Mocha -12 Pcs x 18.5 gm,Nescafe,EGP 53.00,7 verified ratings,5/5
511,Rimmel Scandal Eyes Waterproof Kohl Kajal -001 Black,Rimmel,EGP 95.00,1279 verified ratings,4.4/5
512,Professional Sponge Foundation Blending Blender With Egg Case,(140 verified ratings),EGP 49.99,140 verified ratings,4.4/5
513,Mesery Bundle Of (4) Men Undershirts Cotton Stretch,Mesery,EGP 199.00,32 verified ratings,4.2/5
514,Gawaher Big Rings Pasta - 350g,Gawaher,EGP 8.00,17 verified ratings,4.3/5
515,NIVEA Soft Freshies Refreshing & Moisturizing Cream - Berry Blossom - 100ml,NIVEA,EGP 28.00,772 verified ratings,4.5/5
516,American Eagle Super Soft Icon T-Shirt,American Eagle,EGP 195.00,94 verified ratings,4.6/5
517,Starville Whitening Whitening Night Care Gel - 60g,Starville Whitening,EGP 90.00,,
518,SteriMax Antiseptic Soap 4 Jerrycan - 4 Liter,SteriMax,EGP 359.00,7 verified ratings,3.7/5
519,Dove Intensive Repair Oil Replacement Cream - 300 Ml,Dove,EGP 42.00,41 verified ratings,4.3/5
520,TUT Basic Black Sweatshirt Boys Round Solid Cotton Milton Long Sleeve Kids,TUT,EGP 195.40 - EGP 275.40,,
521,Defacto Man White Short Sleeve Shirt,Defacto,EGP 159.00,7 verified ratings,4.4/5
522,Ballerina Leather BN-9 - Black,(55 verified ratings),EGP 79.00 - EGP 129.00,55 verified ratings,4.5/5
523,Wet Baby Sensitive Wipes Aloe Vera With Cap - Vitamin E – 72 Wipes,(5 verified ratings),EGP 17.00,5 verified ratings,4.6/5
524,LC Waikiki Classic Crew Neck Floral Long Sleeve Women's Tunic,LC Waikiki,EGP 239.00,2 verified ratings,4.5/5
525,Dice Bundle OF Two Sleeveless Top & Boxer - For Kids,Dice,EGP 149.00,64 verified ratings,4.4/5
526,DAMASKINO Men's Casual Summer Beach Sandals - BLACK,DAMASKINO,EGP 138.60,32 verified ratings,4.5/5
527,Bourjois 3D Effet Lip Gloss For Women - 03,Bourjois,EGP 155.00,29 verified ratings,4.5/5
528,Defacto Man Blue Blazer,Defacto,EGP 409.00,,
529,Adidas ESSENTIALS LOGO BUM BAG UNISEX,Adidas,EGP 499.00,10 verified ratings,4.9/5
530,LED Strip - 5 M - Remote Control,(159 verified ratings),EGP 101.99,159 verified ratings,4/5
531,Rexona Shower Fresh Antiperspirant Roll On For Women - 50ml,Rexona,EGP 25.00,1 verified rating,5/5
532,Woman Slippers - Black,(65 verified ratings),EGP 49.00 - EGP 77.00,65 verified ratings,4.2/5
533,Golon 608-Classic Mini Electric Radio- Black + Free Mobile Holder Wood,Golon,EGP 210.00,76 verified ratings,4.4/5
534,White Pocket Smiley Face Tissue - 10 Packs – 10 Tissues,White,EGP 13.95,43 verified ratings,4.4/5
535,Rexona Charcoal Detox Spray Deodorant - 150ml,Rexona,EGP 42.95,,
536,Fern Golden Mix Vegetable Ghee - 700g,Fern,EGP 44.00,38 verified ratings,4.6/5
537,TAT Women Cross Bag Cross-Body Bags -black,TAT,EGP 175.00,20 verified ratings,4.2/5
538,Emami Kesh King Anti-Hair Fall Conditioner - 200ml,Emami,EGP 148.95,125 verified ratings,4.5/5
539,Hairy Grow Hair Tonic Oil Moroccan Argan With Vitamins- 100 Ml,Hairy Grow,EGP 90.00,88 verified ratings,4.3/5
540,Signal Toothpaste Cavity Fighter - 120Ml,Signal,EGP 19.95,16 verified ratings,4.7/5
541,Bless Leave In Cream For Curly Hair - 450 Gm,Bless,EGP 85.00,309 verified ratings,4.2/5
542,Silvana Red Flip Flop Slipper For Women,(32 verified ratings),EGP 50.15,32 verified ratings,4.3/5
543,American Eagle Lettuce Edge Baby Tee - Olive,American Eagle,EGP 110.00,,
544,Women's Round Neck Printed Short Sleeve Cotton T-Shirt....,(94 verified ratings),EGP 80.00,94 verified ratings,4.2/5
545,White Chef Kitchen Towels - 3 Ply - 2 Rolls,White,EGP 16.50,30 verified ratings,4.3/5
546,ATA ATA 32HON - 32-inch HD TV,ATA,"EGP 2,115.00",63 verified ratings,4.3/5
547,Mesery Bundle Of (2) Cotton Stretch Plain Tank Tops,Mesery,EGP 89.00,27 verified ratings,3.4/5
548,Downy Concentrate Valley Dew Fabric Softener - 300ml,Downy,EGP 21.45,6 verified ratings,4.8/5
549,Fashion Women Mesh Sneakers-Black,(266 verified ratings),EGP 148.75,266 verified ratings,4.4/5
550,"Vanish Vanish Laundry Stain Remover Liquid for White Colored Clothes, 900ml",Vanish,EGP 55.95,291 verified ratings,4.5/5
551,Mesery Bretelle Short Dress Cotton Thin Strap - RED,Mesery,EGP 99.99,74 verified ratings,4.5/5
552,Fresh Electric Kettle - 1.7L-Black,Fresh,EGP 311.00,1462 verified ratings,4.4/5
553,Me Now Pro 3D Effect Lash Doubling Mascara 400% Volume Length - 10g,Me Now Pro,EGP 45.00,271 verified ratings,4.2/5
554,Full Headband With Front Brace - 5 Pcs,(350 verified ratings),EGP 199.00,350 verified ratings,3.5/5
555,"Smart Scent Car Freshener, Smart Scent, Black Ice XXL Paper",Smart Scent,EGP 16.00,30 verified ratings,4.3/5
556,Cottonil Bundle Of Three Full Sleeves Men Undershirts,Cottonil,EGP 299.00,957 verified ratings,4.3/5
557,Activ Bi-Toned Navy Blue & Burgundy Backpack,Activ,EGP 169.00,3 verified ratings,4/5
558,Dice Bundle Of Three Boxers - For Kids,Dice,EGP 95.99,16 verified ratings,4.8/5
559,Clear Men Hair Fall Defence Anti-Dandruff Shampoo with coffee beans- 180ml,Clear,EGP 27.95,13 verified ratings,4.7/5
560,Finish Classic Powder Dishwasher Detergent – 1Kg - 2+1 Pack,Finish,EGP 200.00,594 verified ratings,4.6/5
561,Kady Kids Hooded Striped Zipped Sweatshirt - Red,Kady,EGP 149.00,24 verified ratings,3.9/5
562,Andora Palms Elastic Waist With Drawstring Multicolor Swim Shorts,Andora,EGP 119.00,6 verified ratings,4.5/5
563,Star Pasta Shells - 400gm,Star,EGP 7.75,16 verified ratings,4.4/5
564,Eyelash Curler To Lift Eyelashes Up,(51 verified ratings),EGP 19.99,51 verified ratings,3.9/5
565,Palmolive Coconut & Milk Shower Gel - 500 ml,Palmolive,EGP 47.84,3 verified ratings,4.7/5
566,Dettol Anti-Bacterial Skincare Soap Bar – 165gm – 4 PCs - discounted,Dettol,EGP 49.95,25 verified ratings,4.7/5
567,HM Collection Dark Blue - EDT - For Men - 30 ML,HM Collection,EGP 44.00,10 verified ratings,3.9/5
568,"Vanish Vanish Laundry Stain Remover Liquid for White Colored Clothes, 450ml",Vanish,EGP 37.00,99 verified ratings,4.4/5
569,SHEIN SHEIN-1pc Rhinestone Decor Round Pointer Watch & 1pc Bracelet-28186,SHEIN,EGP 249.00,139 verified ratings,4.1/5
570,Nokia 106 (2018) - 1.8-inch Dual SIM Mobile Phone - Black,Nokia,EGP 375.00,1 verified rating,5/5
571,Harvest Tomato paste – 320g,Harvest,EGP 14.25,449 verified ratings,4.4/5
572,Wendy Classic Super Soft Tissues 550 - 3 Mega Pcks,(No ratings available),EGP 45.00,,
573,Servet Sneakers Comfort Sport Shoes For Women - Black - Servet El Turkey,Servet,EGP 242.25,7 verified ratings,4/5
574,Luminous Stars Glow In The Dark Wall Stickers - 100 Pcs,(196 verified ratings),EGP 13.99,196 verified ratings,3.8/5
575,Wet Baby Sensitive Wipes Chamomile With Cap - Vitamin E – 72 Wipes,(4 verified ratings),EGP 17.00,4 verified ratings,4.3/5
576,Garnier Micellar Water Face Eyes Lips Cleanser And Daily Make-up Remover - 100ml,Garnier,EGP 56.99,87 verified ratings,4.3/5
577,Vaseline Lip Therapy Rosy Lips - 17g,Vaseline,EGP 75.00,2 verified ratings,5/5
578,Servet Sneakers Comfort Sport Shoes For Women - Black - Made In Turkey,Servet,EGP 242.25,13 verified ratings,4.4/5
579,Mesery Bundle Of Three Full Coverage Non-wired Cross Back Sportive Bra,Mesery,EGP 109.99,262 verified ratings,3.9/5
580,Dry Post Maternity Incontinence Pads - 10 Pieces,Dry,EGP 49.00,110 verified ratings,4.3/5
581,Kitchen Scissors From Gift Corner Shop,(46 verified ratings),EGP 42.00,46 verified ratings,4.6/5
582,Zahran 6000560 Plastic Colander Set – 3 Pieces,Zahran,EGP 49.00,20 verified ratings,4.2/5
583,"Leather Bag For Women, Cross And Back - Black",(43 verified ratings),EGP 93.98,43 verified ratings,4.3/5
584,Maybelline New York LIFTER GLOSS NU 006 REEF,Maybelline New York,EGP 199.00,,
585,Embrator Bundle Of Six Soft Breathable Sleeveless Undershirts - White,Embrator,EGP 269.00,1882 verified ratings,4.4/5
586,Me Now Pro Super Matte Perfect Waterproof Liquid Eyeliner 1g - 01 Black,Me Now Pro,EGP 32.00,143 verified ratings,4.3/5
587,Sak Tiger Red Dress,(23 verified ratings),EGP 250.00 - EGP 350.00,23 verified ratings,4.3/5
588,Imperial Horse Brown Wallet Leather,Imperial Horse,EGP 199.99,91 verified ratings,4.5/5
589,Embrator Bundle Of 3 Comfy Fit Solid Midway Breif - White,Embrator,EGP 139.99,248 verified ratings,4.3/5
590,NIVEA MEN Invisible Black & White Original Antiperspirant Deodorant Stick - For Men - 40ml,NIVEA MEN,EGP 63.00,143 verified ratings,4.6/5
591,Rexona Peach Spark & Lemon Grass Spray Antiperspirant - 150ml,Rexona,EGP 42.95,,
592,Vaseline Intensive Care - Healthy Hand And Stronger Nails - 75ml,Vaseline,EGP 89.00,241 verified ratings,4.2/5
593,Glysolid Body Lotion – 200ml,Glysolid,EGP 36.95,12 verified ratings,4.3/5
594,Sokany Hot Air Comb Multi Functional And Versatile Styling Comb,Sokany,EGP 335.00,1 verified rating,5/5
595,Maybelline New York Sensational Color Elixir Lip Color - 095 Blush Essence,Maybelline New York,EGP 99.00,3 verified ratings,4.3/5
596,ATA ATA43FOS - 43-inch Full HD Smart TV,ATA,"EGP 4,159.00",7 verified ratings,3.4/5
597,L'Oreal Paris Elvive Extraordinary Oil For All Hair Types - 100ml,L'Oreal Paris,EGP 165.00,1 verified rating,1/5
598,Mesery Bundle Of (3) Stretch Cotton Boy Short Panties,Mesery,EGP 79.00,130 verified ratings,3.6/5
599,Casual Shoes Easy To Wear - White,(137 verified ratings),EGP 179.99,137 verified ratings,4.3/5
600,"Outdoor Distinctive Adult Cap , Summer Hat - Black",(130 verified ratings),EGP 47.00,130 verified ratings,3.8/5
601,Nokia 130 - 1.8-inch Dual SIM Mobile Phone - Red,Nokia,EGP 573.00,2 verified ratings,5/5
602,Black And White Klosh Skirt,(47 verified ratings),EGP 175.00,47 verified ratings,4/5
603,Defacto Man Beige Joggers,Defacto,EGP 184.00,4 verified ratings,4.8/5
604,Mesery Bundle OF (4) Cotton Panties,Mesery,EGP 79.99,417 verified ratings,4/5
605,Magic Detangling Hair Brush Comp I Piece,(12 verified ratings),EGP 19.99,12 verified ratings,4.8/5
606,Nokia 5310 - 2.4-inch Dual Sim Mobile Phone - Black/Red,Nokia,EGP 885.00,68 verified ratings,4.6/5
607,LC Waikiki Crew Neck Printed Short Sleeve Cotton Women's T-Shirt,LC Waikiki,EGP 89.00,2 verified ratings,5/5
608,Me Now Pro MN Long Thick Curly Lashes Mascara 400% Volume + Length - 01 Black - 8g,Me Now Pro,EGP 99.00,135 verified ratings,4.2/5
609,Gawaher Rice Pasta - 350g,Gawaher,EGP 8.00,27 verified ratings,4.7/5
610,Hero Red Cherry Jam - 28.3g,Hero,EGP 6.19,26 verified ratings,4.2/5
611,Vaseline Intensive Care™ Essential Healing Body Lotion – 200 ml,Vaseline,EGP 72.00,3 verified ratings,4.3/5
612,Penduline Shower Gel For Babies - 450Ml,Penduline,EGP 60.99,55 verified ratings,4.7/5
613,Juhayna Juhayna 0% Fat Milk – 1 L,Juhayna,EGP 20.50,5 verified ratings,4.8/5
614,OneHand Casual Polo T-Shirt - Blue,OneHand,EGP 145.00 - EGP 175.00,88 verified ratings,3.9/5
615,Karimed SNOW SHINE Micellar Water4Pcs. Makeup Remover Rose 100ML,Karimed,EGP 109.00,11 verified ratings,4.7/5
616,Karimed GOLDEN STRAND Integrated Free Sulfate Shampoo 400ML,Karimed,EGP 49.00,594 verified ratings,4.1/5
617,American Eagle Slim Fit Oxford Button-Up Shirt,American Eagle,EGP 450.00,315 verified ratings,4.6/5
618,ABC Egypt Powder Detergent Hand Wash - 2 KG +10 % FREE,ABC Egypt,EGP 49.00,13 verified ratings,4.8/5
619,MEGA Shoes DARK-black Sports Shoes Washable With Light EVA Sole,MEGA Shoes,EGP 170.00,21 verified ratings,3.9/5
620,Cleaning Brushes - 3 Pcs,(182 verified ratings),EGP 17.00,182 verified ratings,4.1/5
621,Avuva Body Splash 253Ml + Pomegranate Shower Gel 253ML,Avuva,EGP 99.00,1 verified rating,4/5
622,Aquafresh Little Teeth Toothpaste 3-5 years - 50ml,Aquafresh,EGP 17.44,,
623,Kemei Km-6558 3 In 1 Electric Hair Clipper - Black,Kemei,EGP 138.00,1290 verified ratings,4.2/5
624,Rice And Vegetables Strainer,(50 verified ratings),EGP 38.98,50 verified ratings,4/5
625,Sherraton Pure Ghee - 2kg,Sherraton,EGP 479.00,42 verified ratings,4.7/5
626,Mesery Bundle Of Three Long Slim Legging - Black,Mesery,EGP 199.99,199 verified ratings,4.3/5
627,VGR V-055-Rechargeable Hair Shaver,VGR,EGP 185.60,157 verified ratings,5/5
628,BLACK+DECKER AF300 Airfryer - 4 L - 1500W,BLACK+DECKER,"EGP 2,554.00",140 verified ratings,4.6/5
629,Dettol Antiseptic Liquid Cleaner - 235 ML,Dettol,EGP 43.00,30 verified ratings,4.3/5
630,Nescafe Cappuccino Gold Vanilla -12 Pcs x 18.5 gm,Nescafe,EGP 61.95,11 verified ratings,4.5/5
631,Socks - Set Of (12) Ankle Socks - For Kids,(3 verified ratings),EGP 69.00,3 verified ratings,1.7/5
632,Nescafe Gold Espresso Box - 1.8g - 25 Sticks,Nescafe,EGP 59.50,123 verified ratings,4.5/5
633,ABC Egypt Dish Washing Liquid With Lemon - 4 Liter,ABC Egypt,EGP 65.00,15 verified ratings,4.4/5
634,Dettol MAC Antibacterial Disinfectant 3xPower Floor Cleaner - lemon Scent - 1.3Litre,Dettol,EGP 54.00,5 verified ratings,4.2/5
635,SHEIN SHEIN-Tortoiseshell Frame Sunglasses-0386,SHEIN,EGP 175.00,207 verified ratings,4.6/5
636,Signal Cavity Fighter Regular Toothpaste – 50ml,Signal,EGP 10.95,71 verified ratings,4.8/5
637,American Eagle Slim Flex Polo Shirt,American Eagle,EGP 325.00,604 verified ratings,4.6/5
638,Karimed Keraview Keratin Shampoo With Jojoba Oil For Greasy Hair 350ml,Karimed,EGP 18.00,12 verified ratings,4.3/5
639,Defacto Man Anthracite Jogger,Defacto,EGP 144.00,5 verified ratings,4.6/5
640,HM Collection Attractive - EDT - For Women - 30 ML,HM Collection,EGP 44.00,9 verified ratings,3.4/5
641,American Eagle Active 24/7 Jogger,American Eagle,EGP 375.00,1 verified rating,5/5
642,Fashion Fingerprint Touch Bluetooth Headset Noise-cancelling Stereo Headset,Fashion,EGP 89.40,,
643,T5 T55 Smart Watch For Android & Ios,T5,EGP 328.00,20 verified ratings,3.6/5
644,"Vanish Vanish Crystal White Laundry Stain Remover Liquid for White Clothes, 450ml",Vanish,EGP 30.95,54 verified ratings,4.4/5
645,Me Now Pro Eyebrow Powder Makeup Kit Long Lasting With Brush - 4.2g -02,Me Now Pro,EGP 49.00,87 verified ratings,4.6/5
646,"Pampers Premium Care Diapers Size 5, Junior, 11-25 Kg (94 diapers)",Pampers,EGP 348.45,31 verified ratings,4.5/5
647,Wireless Headset M10 With Power Bank-Black +Free Mobile Holder,(9 verified ratings),EGP 394.00,9 verified ratings,3.9/5
648,Skyline 3222A - 32-inch HD LED TV,Skyline,"EGP 2,075.00",26 verified ratings,3.7/5
649,TUC Pizza Flavored Snack Crackers - 24g - 12 Packs,TUC,EGP 26.95,134 verified ratings,4.4/5
650,Closeup White Now Original Toothpaste - 75ml,Closeup,EGP 26.40,66 verified ratings,4.6/5
651,Garnier Skin Active Micellar Brightening Cleanser Water With Vitamin C – 400ml,Garnier,EGP 160.00,268 verified ratings,4.4/5
652,"American Eagle AEO 6"" Classic Boxer Brief 3-Pack",American Eagle,EGP 275.00,1 verified rating,4/5
653,L'Oreal Paris Colour Riche La Palette Lip - 03 Nude,L'Oreal Paris,EGP 189.00,23 verified ratings,4.3/5
654,Flip Flop Slippers For Men - Blue & Black,(29 verified ratings),EGP 50.15,29 verified ratings,4.3/5
655,Luna Emollient Cream For Hand & Heel - 40 Gm,Luna,EGP 25.00,354 verified ratings,4.6/5
656,NIVEA Micellar Water Make-Up Remover For Dry & Sensitive Skin - 400ml,NIVEA,EGP 111.00,45 verified ratings,4.5/5
657,American Eagle Striped Classic Fit Oxford Button-Up Shirt,American Eagle,EGP 400.00,38 verified ratings,4.6/5
658,"Pampers Pants with lotion with Olive Oil Size 6, 48 diapers, 16+ kg",Pampers,EGP 170.95,37 verified ratings,4.6/5
659,Izor Men's Half Sleeves T-Shirt - Black,Izor,EGP 119.00,506 verified ratings,4.1/5
660,NIVEA Soft Freshies Refreshing & Moisturizing Cream Jar - Tropical Fruit - 100ml,NIVEA,EGP 28.00,688 verified ratings,4.4/5
661,Dermatique Maquillage Corrective Foundation Light SPF 30 - 30ml,Dermatique,EGP 170.00,218 verified ratings,4/5
662,Pure Derm Exfoliating Foot Mask - 1 Pair,Pure Derm,EGP 62.07,1014 verified ratings,4.2/5
663,Set Of 6 Pairs Short Socks Sport- Multi Colors High Quality,(175 verified ratings),EGP 55.00,175 verified ratings,3.6/5
664,White Mega Tissue - 550 Sheets - 12Bag,White,EGP 188.00,65 verified ratings,4.6/5
665,Blankie SPF 50+ Kids Sunscreen - 150ml,Blankie,EGP 125.00,40 verified ratings,4.5/5
666,Royal Vermiceli Pasta - 400g,Royal,EGP 7.60,31 verified ratings,4.3/5
667,Mesery Bundle OF (12) Brief Smooth Cotton Hipster Panties.,Mesery,EGP 249.99,1930 verified ratings,4.3/5
668,Activ Side Double Black Strips Sneakers - Grey & White,Activ,EGP 329.00,3 verified ratings,5/5
669,Might Cinema Eyeshadow Palette - 70 Color,Might Cinema,EGP 179.00,1 verified rating,4/5
670,Lazord Granite Crepe Pan - 30cm - Black,Lazord,EGP 156.00,3 verified ratings,4/5
671,Bonjorno Coffee Mix 2 in1- 12 Pcs?,Bonjorno,EGP 34.45,29 verified ratings,4.8/5
672,Sunsilk Hair Care Bundle - Shampoo + Conditioner + Oil Replacement,Sunsilk,EGP 83.45,8 verified ratings,4.6/5
673,"Smart Scent Car Freshener, Smart Scent, Strawberry Mini Paper",Smart Scent,EGP 9.00,9 verified ratings,4.9/5
674,Fairy Ultra Lemon 420 2 LE,Fairy,EGP 23.45,7 verified ratings,4.4/5
675,AL Asil Sunflower Oil - 1.5 Liter.,AL Asil,EGP 63.00,234 verified ratings,4.6/5
676,"Zeina Set OF 4 Bags, 550 Tissues - Multi Color",Zeina,EGP 79.00,52 verified ratings,4.6/5
677,Healthy Spread Kids 375g,Healthy Spread,EGP 90.00,7 verified ratings,4.4/5
678,Flat Elegant Sneakers - White,(79 verified ratings),EGP 189.99,79 verified ratings,3.7/5
679,Me Now Pro Dip Eyeliner - 4 Ml - 01,Me Now Pro,EGP 35.00,164 verified ratings,4.5/5
680,Nokia 5310 (2020) - 2.4 Dual Sim Mobile Phone - White/Red,Nokia,EGP 899.00,61 verified ratings,4.7/5
681,Servet Sneakers Comfort Sport Shoes For Women - White - Made In Turkey,Servet,EGP 242.25,17 verified ratings,4.6/5
682,Activ Patterned Zipper One Compartment Backpack - Black & Light Green.,Activ,EGP 189.00,,
683,Sokany Electric Milk Frother Coffee Drink Foamer Whisk Mixer Stirrer Coffee Eggbeater + Online Shop Bag,Sokany,EGP 250.00,73 verified ratings,4.2/5
684,Palombini Beans GUSTO ORO- 1 KG,Palombini,EGP 260.00,1 verified rating,4/5
685,NIVEA Creme Moisturizing All Purpose Cream Tin - 60ml,NIVEA,EGP 22.00,74 verified ratings,4.4/5
686,Dettol Surface Disinfectant Cleaner With Trigger Spray - 500 Ml,Dettol,EGP 41.23,47 verified ratings,4.6/5
687,LC Waikiki Crew Neck Short Sleeve Printed Cotton Baby Girl T-Shirt And Shorts 2-Pack Set,LC Waikiki,EGP 100.00 - EGP 199.00,1 verified rating,5/5
688,BLACK+DECKER AF400 Air Fryer - 4L - 1.2kg - Black - 1500W,BLACK+DECKER,"EGP 2,867.00",335 verified ratings,4.5/5
689,DAMASKINO Men's Casual Summer Beach Sandals - BLACK,DAMASKINO,EGP 138.60,53 verified ratings,4.5/5
690,American Eagle AE Pique Polo Shirt,American Eagle,EGP 325.00,,
691,L'Oreal Paris Hyaluron Expert Micellar Water - 200ml,L'Oreal Paris,EGP 86.00,3 verified ratings,5/5
692,Rani Mango Juice – 1 L,Rani,EGP 18.25,7 verified ratings,4.7/5
693,Karimed Brilliant Touch Hand Wash 500ML And 90ML Free Red,Karimed,EGP 28.00,1 verified rating,4/5
694,Braun Silk-épil 3 3170 Epilator - White,Braun,EGP 579.00,105 verified ratings,4.4/5
695,Izor Crew Neck Short Sleeves Casual Tee - Black,Izor,EGP 129.00,42 verified ratings,4.4/5
696,SHEIN Arrow & Circle Bracelet Set 4pcs-6802,SHEIN,EGP 79.00,7 verified ratings,3.7/5
697,Closeup Ever Fresh Red Hot Toothpaste - 25ml,Closeup,EGP 5.95,56 verified ratings,4.4/5
698,White Baby Wipes - 72 Wipes,White,EGP 25.00,42 verified ratings,4.5/5
699,Discount Nuts Roasted & Salted Pistachio - 500gm,Discount Nuts,EGP 198.00,744 verified ratings,4.3/5
700,Adidas BREAKNET SHOES WOMEN,Adidas,"EGP 1,309.00",1 verified rating,5/5
701,Lipton Kharaz Tea - 100gm,Lipton,EGP 18.00,64 verified ratings,4.3/5
702,"An Elegant And Distinctive Olive Color Soiree Dress, Chiffon Lined",(18 verified ratings),EGP 299.00,18 verified ratings,3.9/5
703,Smart Bluetooth Electronic LED Digital Body Fat Scale,(245 verified ratings),EGP 320.00,245 verified ratings,4.2/5
704,St Ives Renewing Moisturizer With Collagen & Elasten - 283g,St Ives,EGP 175.00,181 verified ratings,4.6/5
705,Sunsilk Stunning Black Shine Hair Shampoo – 350ml,Sunsilk,EGP 32.95,2 verified ratings,5/5
706,Clear Hair Fall Defence Hair Shampoo for Men - 360ml,Clear,EGP 45.95,5 verified ratings,4.6/5
707,Chefy Mix Mayonnaise - 280g,Chefy Mix,EGP 19.00,137 verified ratings,4/5
708,Personal Manicure - Pedicure Set.,(110 verified ratings),EGP 99.00,110 verified ratings,4/5
709,Crystal Sunflower Oil 1.6 Liter,Crystal,EGP 72.95,111 verified ratings,4.6/5
710,LC Waikiki Tie Collar Embroidered Women Blouse,LC Waikiki,EGP 175.00,1 verified rating,5/5
711,"ORAL-B Surrounding Black Toothbrush, Medium Manual Toothbrush, 1 Count-COLOR MAY VARY",ORAL-B,EGP 14.45,25 verified ratings,4.5/5
712,Andora Knitted Ribbed High Neck Pullover - Black,Andora,EGP 149.00,1016 verified ratings,3.8/5
713,Mesery Bundle Of (4) - Solid No Show Women Underwear,Mesery,EGP 79.99,336 verified ratings,4.1/5
714,"Harpic Harpic Active Fresh Marine Splash Toilet Cleaner Rim Block, 35g 2 + 1 Free",Harpic,EGP 59.95,20 verified ratings,4.6/5
715,Shaheen Coffee Oriental Blend Plain Light Turkish Coffee - 100gm,Shaheen Coffee,EGP 21.00,120 verified ratings,4.3/5
716,"Pampers Pants with lotion with Olive Oil Size 5, 52 diapers, 12-18 kg",Pampers,EGP 175.00,23 verified ratings,4.6/5
717,American Eagle Flocked Graphic T-Shirt,American Eagle,EGP 275.00,1 verified rating,4/5
718,LC Waikiki Basic Elastic Waist Baby Girl Jean Shorts 2 Pack,LC Waikiki,EGP 149.00,1 verified rating,5/5
719,Lile BN-301 Ballerina Leather - Beige,(20 verified ratings),EGP 79.00 - EGP 129.00,20 verified ratings,4/5
720,Italiano Big Rings Pasta – 1 KG,Italiano,EGP 21.95,57 verified ratings,4.8/5
721,"Lightweight Waterproof Nylon Foldable Bag For Women, Men And Children.",(82 verified ratings),EGP 67.00,82 verified ratings,3.6/5
722,Mesery Bundle OF Six Brief Smooth Cotton Hipster Panties,Mesery,EGP 129.99,221 verified ratings,4.1/5
723,LC Waikiki Shirt Collar Pocket Detailed Long Sleeve Women's Rodeo Jean Jacket,LC Waikiki,EGP 299.00,,
724,AM-Shop Set Of 15 Pairs Short Socks,AM-Shop,EGP 49.00 - EGP 69.00,8 verified ratings,4.4/5
725,Silicone Collapsible Funnel,(134 verified ratings),EGP 10.99,134 verified ratings,4.2/5
726,Glue Nail - 24pcs,(17 verified ratings),EGP 50.00,17 verified ratings,3.8/5
727,Elanoud Aloe Vera Soothing Gel - 150ml,Elanoud,EGP 65.00,88 verified ratings,4.1/5
728,Gillette Offers Venus Comfortglide Breeze Blades - 8Pcs,Gillette,EGP 344.99,34 verified ratings,4.9/5
729,T5s Smart Watch With Touch Screen For Android,(11 verified ratings),EGP 309.00,11 verified ratings,3.9/5
730,Dice - Set OF (6) Boxers - For Boys,Dice,EGP 189.00,4 verified ratings,5/5
731,Crystal Sunflower Oil - 5 L,Crystal,EGP 289.99,282 verified ratings,4.6/5
732,Silvana Black Flip Flop Slipper For Women,(95 verified ratings),EGP 50.15 - EGP 59.00,95 verified ratings,4.5/5
733,Ariel Liquid clean and fresh detergent 3.3 Kilogram,Ariel,EGP 147.45,9 verified ratings,4.6/5
734,Gillette Venus Comfortglide Breeze Hand And 2 Heads,Gillette,EGP 122.08,193 verified ratings,4.4/5
735,Frida Home Cleaning Fragrance Clean 480 ml,Frida,EGP 22.95,76 verified ratings,4.4/5
736,Mero Hazelnut Spread Chocolate 900gm,Mero,EGP 65.00,12 verified ratings,4.3/5
737,Heinz Classic Mayonnaise - 310 gm,Heinz,EGP 31.35,63 verified ratings,4.8/5
738,Maybelline New York Fit Me Matte & Poreless Foundation - 128 Warm Nude,Maybelline New York,EGP 183.00,343 verified ratings,4.4/5
739,American Eagle Slim Flex Polo Shirt,American Eagle,EGP 350.00,158 verified ratings,4.6/5
740,Vebix Mystic Deodorant Roll-On – For Women – 50ml,Vebix,EGP 17.95,4 verified ratings,4.5/5
741,Me Now Pro Waterproof Longlasting Eyeliner Kohl - 01 - 1.1g,Me Now Pro,EGP 35.00,110 verified ratings,3.8/5
742,Grouhy USS-18026RS Stand Fan With Touch - 18 Inch,Grouhy,EGP 750.00,6 verified ratings,4/5
743,NIVEA MEN Creme Moisturizing All Purpose Cream Tin - For Men - 150ml,NIVEA MEN,EGP 53.00,188 verified ratings,4.5/5
744,Defacto Man Green T-Shirt,Defacto,EGP 120.00,,
745,Defacto Man Beige Blazer,Defacto,EGP 409.00,3 verified ratings,5/5
746,Nokia 110 (2019) - 1.77-inch Dual SIM Mobile Phone - Black,Nokia,EGP 521.00,,
747,HM Collection Mirage - EDT - For Men - 30 ML,HM Collection,EGP 44.00,4 verified ratings,4/5
748,Hopax Stick'n Sticky Note - 3x3mm - Yellow,Hopax,EGP 6.99,8 verified ratings,3.6/5
