id,product_name,brand,price,reviews_count,avg_rate
54,FEATHER Flamingo Razor - S (Face & Body) Safety Razor Tech,FEATHER,EGP 139.00,425 verified ratings,4.4/5
55,Bundle Of (6) Basic Socks - High Quality.,(50 verified ratings),EGP 36.00,50 verified ratings,3.7/5
56,NIVEA MEN Silver Protect Deodorant Spray for Men - 150ml,NIVEA MEN,EGP 44.00,389 verified ratings,4.4/5
57,L'oreal Elvive Dream Long Straight 72H - Straightening Keratin Shampoo 200 Ml,L'oreal,EGP 37.00,90 verified ratings,4.5/5
58,American Eagle Low Cut Socks 5-Pack,American Eagle,EGP 175.00,152 verified ratings,4.6/5
59,Crystal Sunflower Oil - 2.2 Liters,Crystal,EGP 101.90,167 verified ratings,4.5/5
60,Healthy Spread Orginal 375g,Healthy Spread,EGP 90.00,26 verified ratings,4.8/5
61,Mesery Bundle OF Six Smooth Cotton Hipster Panties,Mesery,EGP 129.99,2164 verified ratings,4.4/5
62,Camay Bar Soap Romantic - 120 gm,Camay,EGP 7.15,77 verified ratings,4.5/5
63,Cottonil Bundle Of Five Men Boxer,Cottonil,EGP 269.00,3400 verified ratings,4.3/5
64,Chefy Mix BBQ Sauce - 1kg,Chefy Mix,EGP 33.00,731 verified ratings,4.4/5
65,Mothercare Pink Canvas Trainers,Mothercare,EGP 89.00,10 verified ratings,4.7/5
66,Lipton Extra Strong Black Tea - 100 Tea Bags,Lipton,EGP 50.00,231 verified ratings,4.5/5
67,"Vanish Vanish Laundry Stain Remover Liquid for White Colored Clothes, Can be used with or without Detergents & Additives, 450ml - Pack of 2 @15%",Vanish,EGP 77.05,9 verified ratings,5/5
68,Camay Dynamique Soap - 120 gm,Camay,EGP 7.45,152 verified ratings,4.4/5
69,Mesery Bundle Of Three Cotton Stretch Plain Spaghetti Tops,Mesery,EGP 129.99,932 verified ratings,4/5
70,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Rose Scent Plus Free Hand Wash 500ML,Karimed,EGP 109.00,18 verified ratings,4.8/5
71,Elmatbakh Flour - 1 kg,Elmatbakh,EGP 21.85,180 verified ratings,4.6/5
72,Karimed Keraview Keratin Shampoo + Conditioner Aloe Vera For Dry Hair 350ml,Karimed,EGP 45.00,34 verified ratings,3.9/5
73,Lipton Yellow Label Black Tea - 25 Tea Bags,Lipton,EGP 13.00,350 verified ratings,4.5/5
74,Star Pasta Penne - 400g,Star,EGP 8.02,50 verified ratings,4.4/5
75,"Finish Classic Powerball Dishwasher Tablets, 13 Tabs - Pack of 3 @50% Off",Finish,EGP 149.95,1 verified rating,5/5
76,Nokia 130 - 1.8-inch Dual SIM Mobile Phone - Gray,Nokia,EGP 554.88,2 verified ratings,5/5
77,Lipton Lemon Ginger - 20 Bags,Lipton,EGP 14.35,205 verified ratings,4.3/5
78,NIVEA MEN Fresh Power Deodorant Spray For Men - 150 ml,NIVEA MEN,EGP 44.00,259 verified ratings,4.4/5
79,"NIVEA MEN Power Fresh Shower Gel 3in1, 24h Fresh Effect, Citrus Scent - 250ml",NIVEA MEN,EGP 37.00,228 verified ratings,4.5/5
80,Sherraton Pure Ghee - 1500g,Sherraton,EGP 367.00,58 verified ratings,4.6/5
81,Regina Pasta Linguini - 400g,Regina,EGP 10.95,249 verified ratings,4.6/5
82,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Peach Scent,Karimed,EGP 99.00,5 verified ratings,4.2/5
83,L'Oreal Paris Hyaluron Expert Repluming Moisturizing Eye Cream - 15ml,L'Oreal Paris,EGP 112.00,1610 verified ratings,4.2/5
